location_id,city,state,pincode
1,Bhubaneswar,Goa,226827
2,Sambhal,Mizoram,917035
3,Nanded,Telangana,526959
4,Sirsa,Rajasthan,990006
5,Hosur,Gujarat,064598
6,Etawah,Himachal Pradesh,395342
7,Tiruppur,Uttarakhand,411445
8,Alappuzha,Telangana,289574
9,Rajpur Sonarpur,Karnataka,086765
10,Jamalpur,West Bengal,145516
11,Bikaner,Karnataka,884860
12,Tadipatri,West Bengal,224993
13,Ongole,Gujarat,336206
14,Jamnagar,Chhattisgarh,965411
15,Panvel,Karnataka,819862
16,Silchar,Meghalaya,803989
17,Anantapuram,Uttar Pradesh,254167
18,Hyderabad,Uttar Pradesh,319721
19,Latur,Nagaland,607337
20,Pimpri-Chinchwad,Mizoram,632326
21,Bhalswa Jahangir Pur,Manipur,943292
22,Berhampore,Haryana,576609
23,Tenali,Jharkhand,366236
24,Ahmedabad,Karnataka,761145
25,Jehanabad,Maharashtra,423535
26,Gwalior,Assam,654126
27,Aurangabad,Maharashtra,571066
28,Mumbai,Manipur,105095
29,Bahraich,Gujarat,931589
30,Silchar,Gujarat,557434
31,Gandhinagar,Goa,773162
32,Bulandshahr,Gujarat,587611
33,Udaipur,Tamil Nadu,034479
34,Amravati,Jharkhand,563697
35,Bareilly,Telangana,641778
36,Kolhapur,Manipur,710048
37,Pudukkottai,Chhattisgarh,950906
38,Chapra,Kerala,477771
39,Gudivada,Manipur,005634
40,Visakhapatnam,Gujarat,450097
41,Vellore,Haryana,185444
42,Bathinda,Tripura,638255
43,Tezpur,Chhattisgarh,011805
44,Khora ,Sikkim,337231
45,Kadapa,Chhattisgarh,873395
46,Machilipatnam,Assam,385114
47,Muzaffarnagar,Haryana,937824
48,Moradabad,Sikkim,327695
49,Arrah,Mizoram,044455
50,Ghaziabad,Kerala,997429
